GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "46998","South Dakota (Metropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",92.763,91.931,94.149,91.135,94.244,93.747,93.421,91.829,92.169,90.664,93.925,94.414,93.970,92.731,90.197,90.137,90.207
 "46999","South Dakota (Nonmetropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",78.784,81.249,84.412,84.232,86.709,87.098,85.648,84.403,82.720,84.088,88.662,89.288,88.767,87.041,85.279,85.740,86.681
 "47998","Tennessee (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",93.477,92.520,94.176,94.816,95.295,94.739,94.596,94.508,95.851,95.065,90.859,92.592,91.919,91.829,93.250,93.804,93.397
 "47999","Tennessee (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",84.431,82.643,85.291,85.219,85.991,85.954,85.563,85.821,85.467,84.576,84.474,85.452,84.086,85.048,85.043,84.349,84.944
 "48998","Texas (Metropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",98.249,98.170,98.838,98.101,98.803,99.195,99.448,99.364,99.086,98.511,98.681,99.396,99.678,99.219,98.216,98.043,97.930
 "48999","Texas (Nonmetropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",87.059,84.823,87.787,87.479,88.328,88.570,89.238,88.390,88.133,87.166,89.226,89.873,89.820,89.968,89.078,87.707,87.835
 "49998","Utah (Metropolitan Portion)",7,PARPP,1,"...","RPPs: All items ","Index",97.311,100.747,98.365,100.954,100.793,99.535,98.990,97.880,97.500,99.358,96.804,98.439,96.122,95.275,95.262,96.447,99.721
 "49999","Utah (Nonmetropolitan Portion)",7,PARPP,1,"...","RPPs: All items ","Index",94.887,95.848,91.307,92.888,90.847,92.403,91.021,95.972,94.306,94.343,90.580,89.319,89.219,88.948,89.853,90.652,93.075
 "50998","Vermont (Metropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",103.061,104.671,101.996,101.918,102.699,103.317,99.469,102.872,102.138,103.686,102.131,104.532,105.055,102.552,106.253,100.753,100.949
 "50999","Vermont (Nonmetropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",99.410,99.733,97.902,97.569,98.484,98.810,97.018,98.393,95.890,98.337,99.121,96.694,100.459,96.565,98.104,95.042,96.350
 "51998","Virginia (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",105.411,104.731,105.769,105.443,104.356,105.508,105.347,105.536,104.732,103.024,103.538,101.647,102.633,103.907,103.602,102.745,102.567
 "51999","Virginia (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",86.337,85.438,87.341,87.207,88.009,87.951,88.387,88.032,86.985,86.028,88.525,86.470,86.837,88.344,88.044,88.699,88.361
 "53998","Washington (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",105.103,105.362,103.505,103.959,103.370,103.168,104.710,105.121,106.362,108.042,107.884,109.004,108.895,109.940,110.882,109.354,107.926
 "53999","Washington (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",98.335,97.517,95.360,96.255,94.576,95.499,95.971,97.053,96.989,96.741,98.981,97.332,96.858,97.036,100.995,97.921,97.377
 "54998","West Virginia (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",89.862,88.826,90.988,91.883,91.683,92.088,91.791,92.908,92.758,90.896,90.898,90.115,89.254,92.677,91.053,91.238,90.940
 "54999","West Virginia (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",84.465,83.413,85.818,85.546,85.631,87.268,86.770,86.865,85.155,86.029,86.931,85.891,84.277,87.854,85.918,86.803,87.028
 "55998","Wisconsin (Metropolitan Portion)",3,PARPP,1,"...","RPPs: All items ","Index",96.791,97.066,96.587,95.530,96.045,96.056,95.934,95.580,95.841,96.362,95.453,95.962,94.252,94.762,93.797,94.601,95.642
 "55999","Wisconsin (Nonmetropolitan Portion)",3,PARPP,1,"...","RPPs: All items ","Index",83.935,86.429,89.612,88.833,89.346,87.738,87.694,86.788,85.576,85.551,89.853,90.131,87.956,88.941,88.229,89.162,89.577
 "56998","Wyoming (Metropolitan Portion)",7,PARPP,1,"...","RPPs: All items ","Index",94.056,98.379,96.192,99.181,99.230,98.636,99.040,95.863,97.765,98.464,94.439,95.093,92.417,92.169,93.268,91.989,95.328
 "56999","Wyoming (Nonmetropolitan Portion)",7,PARPP,1,"...","RPPs: All items ","Index",95.802,95.997,95.206,97.008,95.152,96.827,96.772,97.381,97.740,96.617,91.526,93.681,91.596,91.153,91.158,91.362,91.622
 "00000","United States", ,PARPP,2,"..."," RPPs: Goods ","Index",99.500,99.453,99.542,99.535,99.566,99.573,99.586,99.583,99.583,99.563,99.542,99.573,99.541,99.568,99.542,99.542,99.567
 "01998","Alabama (Metropolitan Portion)",5,PARPP,2,"..."," RPPs: Goods ","Index",96.449,94.533,96.497,96.273,96.195,96.851,97.242,96.051,96.813,96.461,92.481,94.604,94.355,93.932,94.668,94.611,96.399
 "01999","Alabama (Nonmetropolitan Portion)",5,PARPP,2,"..."," RPPs: Goods ","Index",93.991,91.784,96.042,94.660,91.498,93.740,92.479,91.921,92.980,91.625,92.453,94.592,94.344,93.909,94.665,94.586,96.397
 "02998","Alaska (Metropolitan Portion)",8,PARPP,2,"..."," RPPs: Goods ","Index",107.112,108.012,106.139,105.493,103.869,102.456,101.341,105.049,108.729,109.432,103.318,98.909,99.674,109.101,104.219,104.474,107.340
 "02999","Alaska (Nonmetropolitan Portion)",8,PARPP,2,"..."," RPPs: Goods ","Index",103.302,100.821,99.662,99.247,96.241,95.083,96.609,102.784,104.205,103.739,102.956,104.791,106.084,109.240,109.242,101.824,103.814
 "04998","Arizona (Metropolitan Portion)",6,PARPP,2,"..."," RPPs: Goods ","Index",103.032,106.708,100.143,98.962,98.304,97.673,97.741,98.335,97.594,97.089,95.871,95.910,100.200,95.020,98.106,97.978,95.335
 "04999","Arizona (Nonmetropolitan Portion)",6,PARPP,2,"..."," RPPs: Goods ","Index",101.247,100.053,98.691,98.885,97.116,95.775,97.731,104.137,105.247,101.378,95.684,98.996,96.531,96.603,97.713,96.810,96.237
 "05998","Arkansas (Metropolitan Portion)",5,PARPP,2,"..."," RPPs: Goods ","Index",96.705,94.721,96.701,96.657,96.384,96.733,96.768,95.766,96.351,96.133,93.068,94.773,94.336,95.612,93.131,93.105,93.607
 "05999","Arkansas (Nonmetropolitan Portion)",5,PARPP,2,"..."," RPPs: Goods ","Index",94.785,92.355,96.543,94.980,91.455,93.179,91.579,91.040,92.474,91.797,93.082,94.775,94.349,95.647,93.120,93.097,93.577
 "06998","California (Metropolitan Portion)",8,PARPP,2,"..."," RPPs: Goods ","Index",107.535,104.785,103.114,103.701,104.252,104.479,104.485,105.570,104.381,104.512,105.511,106.203,106.701,108.166,108.406,106.799,106.114
 "06999","California (Nonmetropolitan Portion)",8,PARPP,2,"..."," RPPs: Goods ","Index",101.302,99.867,98.476,98.619,96.382,94.981,97.126,103.699,104.585,101.979,105.322,104.773,104.497,106.870,108.965,104.934,105.168
 "08998","Colorado (Metropolitan Portion)",7,PARPP,2,"..."," RPPs: Goods ","Index",104.806,102.399,101.617,102.093,101.914,101.595,100.410,99.289,99.221,99.349,97.741,101.877,102.755,102.456,101.761,99.558,99.062
 "08999","Colorado (Nonmetropolitan Portion)",7,PARPP,2,"..."," RPPs: Goods ","Index",101.740,100.055,98.694,98.130,96.971,96.385,98.230,103.859,104.907,101.144,96.047,99.198,96.067,96.305,96.428,96.279,96.052
 "09998","Connecticut (Metropolitan Portion)",1,PARPP,2,"..."," RPPs: Goods ","Index",109.911,108.999,103.854,104.078,104.900,104.588,103.651,103.357,103.783,104.624,101.432,98.730,99.011,96.989,101.095,98.600,97.330
 "09999","Connecticut (Nonmetropolitan Portion)",1,PARPP,2,"..."," RPPs: Goods ","Index",103.508,102.789,99.333,99.495,99.142,98.923,98.706,99.964,99.822,100.867,101.432,98.730,99.011,96.989,101.095,98.600,97.330
