Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
350,Jalen Wilson,25,BRK,PF,49,1,14.6,1.8,4.8,.386,1.0,2.8,.355,0.8,1.9,.432,.491,1.1,1.5,.733,0.2,1.6,1.8,0.7,0.4,0.0,0.6,1.4,5.8,,wilsoja03
351,Tre Mann,24,CHO,PG,51,1,13.0,2.1,5.8,.362,1.0,3.0,.327,1.1,2.8,.400,.446,0.5,0.5,.852,0.4,1.4,1.8,1.7,0.5,0.1,1.0,1.4,5.7,,manntr01
352,Jahmai Mashack,23,MEM,SG,28,4,19.8,2.3,5.6,.399,0.6,2.1,.267,1.7,3.5,.480,.449,0.6,1.1,.567,0.8,1.4,2.2,1.3,1.3,0.4,1.3,2.0,5.7,,mashaja01
353,Karlo Matković,24,NOP,PF,62,2,14.7,2.3,3.8,.604,0.6,1.5,.422,1.7,2.3,.717,.685,0.5,0.7,.732,1.2,2.5,3.7,0.8,0.4,0.9,0.5,1.7,5.7,,matkoka01
354,Ethan Thompson,26,IND,SG,27,8,18.1,2.0,5.2,.386,1.1,3.2,.345,0.9,2.0,.453,.493,0.6,0.8,.714,0.5,1.4,1.9,1.5,0.6,0.3,0.6,2.2,5.7,,thompet01
355,Matisse Thybulle,28,POR,SG,26,0,15.3,1.9,4.3,.434,1.2,3.0,.392,0.7,1.3,.529,.571,0.8,0.9,.870,0.6,1.5,2.1,0.9,1.9,0.5,0.9,1.5,5.7,,thybuma01
356,Mitchell Robinson,27,NYK,C,58,16,19.6,2.4,3.4,.724,0.0,0.0,,2.4,3.4,.724,.724,0.7,1.7,.406,4.2,4.5,8.7,0.9,0.9,1.1,0.7,2.1,5.6,,robinmi01
357,Marcus Sasser,25,DET,PG,33,5,12.5,1.9,4.8,.405,1.2,2.9,.427,0.7,1.9,.371,.535,0.5,0.5,.833,0.2,0.8,1.0,2.1,0.6,0.1,0.9,1.2,5.6,,sassema01
358,Dru Smith,28,MIA,SG,69,1,16.4,1.9,4.6,.416,0.6,1.8,.302,1.4,2.8,.490,.475,1.2,1.5,.825,0.9,1.6,2.5,2.6,1.4,0.3,0.8,1.6,5.6,,smithdr01
359,Guerschon Yabusele,30,2TM,C,64,16,14.6,1.8,4.5,.403,1.0,2.8,.357,0.8,1.7,.481,.516,0.8,1.1,.743,0.8,2.5,3.3,0.9,0.4,0.2,0.6,1.2,5.5,,yabusgu01
359,Guerschon Yabusele,30,NYK,C,41,0,8.9,1.0,2.6,.393,0.5,1.7,.294,0.5,1.0,.564,.486,0.2,0.3,.667,0.6,1.5,2.1,0.4,0.1,0.1,0.4,0.9,2.7,,yabusgu01
359,Guerschon Yabusele,30,CHI,C,23,16,24.7,3.3,8.0,.410,2.0,5.0,.395,1.3,3.0,.435,.533,1.9,2.5,.759,1.3,4.3,5.5,1.7,0.8,0.4,1.0,1.8,10.4,,yabusgu01
360,Kobe Brown,26,2TM,PF,57,6,14.8,2.0,4.2,.473,0.8,2.1,.367,1.2,2.1,.580,.565,0.8,0.9,.796,1.1,1.8,2.9,1.2,0.3,0.2,0.8,1.1,5.5,,brownko01
360,Kobe Brown,26,LAC,PF,34,0,8.7,1.0,2.5,.393,0.4,1.4,.265,0.6,1.0,.571,.470,0.6,0.8,.808,0.5,1.0,1.6,0.8,0.3,0.1,0.4,0.5,2.9,,brownko01
360,Kobe Brown,26,IND,PF,23,6,23.9,3.5,6.7,.516,1.3,3.1,.437,2.1,3.7,.583,.616,1.0,1.2,.786,1.9,2.9,4.8,1.8,0.4,0.4,1.4,2.1,9.3,,brownko01
361,Rob Dillingham,21,2TM,PG,60,0,14.0,2.2,5.8,.380,0.6,1.8,.308,1.7,4.1,.412,.427,0.5,0.7,.756,0.3,1.5,1.8,2.2,0.7,0.1,1.4,1.7,5.5,,dilliro01
361,Rob Dillingham,21,MIN,PG,35,0,9.3,1.3,4.0,.333,0.3,0.9,.364,1.0,3.1,.324,.376,0.4,0.6,.750,0.1,1.0,1.2,1.7,0.5,0.1,1.0,1.0,3.5,,dilliro01
361,Rob Dillingham,21,CHI,PG,25,0,20.5,3.4,8.4,.411,0.8,3.0,.284,2.6,5.4,.481,.462,0.6,0.8,.762,0.5,2.1,2.6,2.9,0.9,0.1,1.8,2.6,8.4,,dilliro01
362,Goga Bitadze,26,ORL,C,59,3,14.9,2.2,3.3,.672,0.0,0.2,.182,2.2,3.1,.701,.677,1.1,1.5,.705,2.0,2.7,4.7,1.3,0.6,0.9,0.6,2.1,5.5,,bitadgo01
